,company,description,title
52,"Illumina, Inc.","<span class=""summary"" id=""job_summary"">We are looking for driven, talented Scientists and Product Engineers to join our growing Life Cycle Management (LCM) group. The LCM group works as an integral part of our Consumables Manufacturing process and is tasked with increasing quality and yield within our high volume production environments.
<br>
<br>
This Scientist 1 position is a hands-on, independent position where the incumbent uses expert knowledge of product characterization and GMP manufacturing processes for new product introduction initiatives of clinical/diagnostic products. This individual will provide technical expertise and leadership in the design and execution of experiments for product/process optimization, analytical method development, and verification activities ensuring the successful transfer of technology transfer into a GMP manufacturing environment. Specific focus areas include:
<br>
<br>
<b>All About You
</b><br>
<br>
<b>Responsibilities:
</b><br>
<ul><li>Collaborate and guide new product development teams throughout the stages of product development process (PDP) in order to:
<ul><li>Act as the liaison between development and manufacturing,
</li><li>Construct and execute controlled experiments (including DOE's and gauge R&amp;R; studies) to
improve the production and processing of biological materials, utilizing mathematical techniques and scientific expertise to sort and analyze data and draw valid conclusions;
</li><li>Provide technical support for the identification of critical materials and process controls;
</li><li>Provide analytical test method development support during pre-formulation, formulation development and manufacture of prototype formulations, clinical trial materials and process scale ups.
</li><li>Review analytical method validation, process validation, cleaning validation, stability studies and other product qualification requirements, including reviewing protocols, executed studies and associated reports.
</li><li>Participate in phase gate reviews as defined per product development process (Design Control program)
</li><li>Define, establish, and manage requirements for successful transfer of technical information into manufacturing, i.e. detailed transfer package deliverable(s).
</li></ul></li><li>Support product characterization activities and method development activities as needed, including recommending materials for reliable performance (material compatibility and availability) and manufacturing scalability.
</li><li>Monitor, trend and analyze results from development and pilot lots during the NPI process; track off-targeted production outputs, troubleshoot/perform root cause analysis, and make technical and compliance related recommendations as required.
</li><li>Design and execute controlled experiments to optimize processes, address technical failures and quality issues to drive implementation of solutions within the production environment.
</li><li>Present clear and concise written and oral communications to colleagues and supervisors, lead and participate in technical meetings, and provide recommendations based on technical results
</li></ul><br>
<b>Requirements:
</b><br>
<ul><li>Work experience in production, pilot plant, and/or product development following GMP best work practices and techniques is required.
</li><li>Work experience with NPI projects, design change control programs as well as having an understanding of product lifecycle management.
</li><li>Experience with Design of Experiments techniques, statistical analysis, and statistical process controls.
</li><li>Experience with at least several of the following techniques: HPLC, SEC, CE, GC, GC-MS, LC-MS, MALDI-TOF, SDS-PAGE, IEF
</li><li>Experience with chemical processes (preferably organic) is required
</li><li>Must understand the process of control requirements for production and process improvement as per QSR, FDA, ISO 90001/13485, and other regulatory requirements.
</li><li>Highly desirable to have experience and knowledge of operations of IVDs, medical devices, and/or Pharmaceutical products.
</li><li>Strong background in analytical characterization of enzymes, oligonucleotides, small molecules, and/or mixtures of the above is highly desired
</li><li>Knowledge of material properties, compatibility studies and product performance testing.
</li><li>Ability to work independently in a fast paced team environment, meet deadlines, and adapt to rapidly changing priorities across multiple projects in accordance with departmental and company objectives.
</li><li>Excellent communication, interpersonal, and leadership skills.
</li></ul><br>
<b>Education:
</b><br>
<ul><li>B.S. &amp; 5+ yrs experience/M.S. &amp; 3+ yrs experience/Ph.D. in: Materials Science or Physical Chemistry, Chemistry, Biochemistry, Chemical Engineering, or Biochemical/Biomedical/Biotechnical Engineering, Bioengineering
</li></ul><br>
Illumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information.</br></br></br></br></br></br></br></br></br></br></br></br></span>",Process Development Scientist 1
53,FEI Company,"<span class=""summary"" id=""job_summary"">With more than 60 years of innovation and leadership, FEI enables customers to find meaningful answers to questions that accelerate breakthrough discoveries, increase productivity, and ultimately change the world. FEI designs, manuÂ­factures, and supports the broadest range of high-performance microscopy workflows that provide images and answers in the micro-, nano-, and picometer scales.
<br>
<br>
Combining hardware and software expertise in electron, ion, and light microscopy with deep application knowledge in the materials science, life sciÂ­ences, electronics, and natural resources markets, the worldwide FEI team of 2,700+ employees is dedicated to customers' pursuit of discovery and resolution to global challenges.
<br>
<br>
<b>Job Purpose
</b><b><br>
</br></b><br>
The Electrical Design Engineer is responsible for the design and integration of control electronics for focused ion and semiconductor diagnostic systems. These products are complex electro-mechanical systems that employ charged particle optics, gas chemistries, lasers and other technologies for sub-micron structural modifications, imaging and device characterization. The system elements under electronic control include: charged particle beam focusing and deflection elements; electron detection, pre-amplifiers and signal processing; process gas delivery; laser scanning microscopes; IR imaging; and precision mechanical positioning systems.
<br>
<br>
<b>Duties and responsibilities
</b><br>
<ul><li>Design, integrate, test, and debug electronic controls (including beam deflection, electron detection, and motion control) </li><li>Conduct system-level configuration of electronics architectures </li><li>Debug and troubleshoot existing electronic designs including hands-on debug activities such as noise suppression and grounding schemes </li><li>Ensure compliance, including electromagnetic compatibility and immunity, for electrical subsystems </li><li>Design and implement electronic architectures, power, and grounding systems </li><li>Conduct system level integration for highly-integrated semiconductor capital equipment tools </li><li>Interface directly with manufacturing for product documentation and vendor interactions that support the production and deployment of new or next-generation systems designs </li><li>Other duties as assigned
</li></ul><br>
<b>Qualifications
</b><br>
<ul><li>University Degree in Electrical Engineering or related discipline. MS EE preferred </li><li>0-5 years combined board and system level design, debug and deployment </li><li>PCB designs from concept through to manufacturing with minimal support infrastructure. Must be proficient in EDA software tool(s), layout is a plus </li><li>Understanding and experience with low level analog signal processing (pA, uV) </li><li>Experience with high voltage and vacuum systems </li><li>Feedback and high precision control systems </li><li>Particle detection, photodiodes and imaging systems </li><li>Self-motivated, organized, customer focused with excellent written and communication skills
</li></ul><br>
<b>EEO/AAP
</b><br>
<br>
All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.</br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Electrical Engineer I
54,DRS Technologies,"<span class=""summary"" id=""job_summary"">The successful candidate will be responsible for driving technology and completion of activities on time and on budget as a member of the Program Team. This position will involve analysis, design, development, testing and implementation of products, systems or subsystems, and providing technical expertise and support, as an independent or team contributor, in the acquisition of hardware and software (or subcontract services, as needed).
<br>
<br>
<b><b>Duties and Responsibilities
</b></b><br>
<ul><li>Providing technical input in the selection, specification, test, screening, qualification, application, and root cause failure analysis of electronic parts, materials, and processes (PM&amp;P;).
</li><li>Supporting supply chain management activities, which include assessments, audits, reviews of test data, process optimizations, and qualification methods, and by participating and interfacing with industry associations, working groups, NASA and other agencies.
</li><li>Interfacing with customer and contractor personnel as a technical authority, or customer representative, for PM&amp;P; program management and risk assessment via activities such as PM&amp;P; control boards.
</li><li>Supporting technical audits and reviews as a technical authority, consultant, or customer representative, to perform independent verification and validation in areas such as hardware design, electronic PM&amp;P; pedigree, producibility, technology and manufacturing readiness.
</li><li>Providing technical support to customer and corporate infrastructure activities to share lessons learned, common practices, and preventive actions.
</li><li>Communicating with manufacturing, supply chain, program management and the customer, as required
</li><li>Providing technical expertise and assistance to other engineers and support personnel
</li><li>Interacting with technical management, other professionals, technicians and support personnel to coordinate, recommend and confer regarding technical activities and progress
</li></ul><ul><li>Support, communicate, reinforce and defend the mission, values and culture of the organization
</li></ul><br>
<b><b>Basic Qualifications (include education and years of experience required)
</b></b><br>
<ul><li>Degree(s) Required: Bachelor’s Degree in Materials Science, Engineering or related technical field with a minimum of 8 years of experience.
</li><li>Degree(s) Preferred: MS or PhD in Materials Science or Related Engineering
</li><li>Mastery of technologies and domain knowledge.
</li></ul><br>
<b><b>Additional Desirable Qualifications Skills and Knowledge
</b></b><br>
<ul><li>Expertise in space related Parts, Materials, and Processes (PM&amp;P;).
</li><li>Technical expertise in the selection, specification, test, screening, qualification, application, and root cause failure analysis of electronic parts, materials, and processes (PM&amp;P;) with depth of knowledge in at least one area and diversity and experience among others.
</li></ul><br>
<b><b>Physical Requirements (Lifting, Walking, Bending, Stooping, Kneeling etc)
</b></b><br>
<br>
Walking – 0-25% of the time Sitting - 0-75% of the time Standing – 0-10% of the time
<br>
Bending - 0-10% of the time Stooping - 0-10% of the time Lifting - 0-20 lbs 0-25% of the time
<br>
<br>
<b>Working Conditions:
</b><br>
<br>
Normal for an office environment. Work may require occasional weekend and/or evening work and travel.
<br>
<br>
In Accordance with the Americans with Disabilities Act, it is possible that requirements may be modified to reasonably accommodate disabled individuals. However, no accommodations will be made which may pose serious health or safety risks to the employee or others or which impose undue hardships on the organization.
<br>
<br>
<b>DRS Required Training for this position:
</b><br>
<br>
New Hire EHS Training (SA038)
<br>
<br>
New Hire Ethics Training Modules
<br>
<br>
New Hire Export Compliance Training
<br>
<br>
New Hire ISO 9001 Awareness Training
<br>
<br>
OPSEC
<br>
<br>
DRS Technologies, Inc. and its subsidiaries and affiliates are equal opportunity employers and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, national origin, disability status, protected veteran status, or any other characteristic protected by law. IND</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>","Parts, Materials, and Process Engineer with Space Background"
55,Google,"<span class=""summary"" id=""job_summary"">Verily Life Sciences is focused on shifting health care from a reactive, undifferentiated approach to a proactive, targeted approach by transforming the detection, prevention, management and even our basic understanding of disease.
<br>
<br>
This position will work closely with cross-functional engineering teams to prototype, develop, test, and launch new hardware products. You will be responsible for prototyping miniaturized biomedical and life science related devices within a microfabrication laboratory. This includes running and maintaining existing process modules and equipment, developing new processes and materials systems/architectures, and providing expertise/advisement in the fields of polymer materials systems, hybrid flexible electronics, and packaging.
<br>
<br>
The Verily Life Sciences team is focused on helping to move healthcare from reactive to proactive. Combining expertise from the fields of biology, chemistry, physics, medicine, electrical engineering, computer science, weâre developing new technology tools for physicians that can integrate easily into daily life and help transform the detection, prevention, and management of disease. Current projects in development include a smart contact lens with miniaturized glucose sensor ; a nanodiagnostics platform to help with early detection of disease ; and Liftware utensils for people with tremor. For more information, please see our website .
<br>
<br>
<b>Responsibilities
</b><ul><li>Work with and provide expertise to process engineers and technicians in an effort to maintain, improve, and troubleshoot a wide range of microfabrication processes and equipment.
</li><li>Manage fabrication of bioelectronic interfaces using a wide array of microfabrication techniques including deposition, photolithography, etch, thermal, wet chemistries, metrology, packaging.
</li><li>Process development for integration of novel materials into wearable and implantable devices, including optimization of existing processes for improving yield, reliability, and throughput.
</li><li>Bring new equipment online to provide robust process windows for niche process applications. Maintain equipment and providing operational support within a cleanroom facility.
</li><li>Use failure analysis and reliability data as a feedback stream for process/device optimization.
</li></ul><br>
<b>Qualifications
</b>Minimum qualifications:
<ul><li>BS degree in Materials Science, Electrical Engineering, Chemical Engineering, or related technical field, or equivalent practical experience.
</li><li>4 years of hands-on experience fabricating microscale devices for biomedical or life science applications.
</li><li>Experience in conventional microfabrication techniques, including lithography, deposition of thin films, wet and dry etching, and related inspection techniques to characterize.
</li><li>Experience with one or more of: flex electronics based microfabrication, encapsulation and barrier design, electrode design and characterization, materials characterization, SPC and/or process monitoring/specifications, wafer level or flip-chip packaging.
</li></ul><br>
Preferred qualifications:
<ul><li>PhD in Materials Science, Electrical Engineering, Chemical Engineering, or related technical field working in bio medical or life science device R&amp;D.;
</li><li>Extensive hands-on experience developing hybrid flex electronics and associated packaging technologies at the micrometer scale.
</li><li>Hands-on experience developing encapsulation/barrier processes and novel materials systems/architectures in a microfabrication facility.
</li><li>Deep expertise and proven track record of fabricating devices with common polymers such as silicone, polyimide, SU-8, parylene, etc.
</li><li>Expertise in performing inspection and characterization techniques including interferometry, confocal microscopy, profilometry, ellipsometry, FIB/SEM, etc. to support SPC, FA, and REL activities.
</li><li>Excellent verbal, written, and listening skills including ability to present facts clearly and concisely to staff members at all levels and backgrounds.</li></ul></br></br></br></br></br></br></br></br></span>","Hardware Engineer, Microfabrication, Verily Life Sciences"
56,Carbon3D,"<span class=""summary"" id=""job_summary"">Working at the intersection of hardware, software and molecular science, we are committed to delivering on the promise of 3D printing, enabling commercial customers to go beyond basic prototyping to 3D manufacturing.
<br>
<br>
Our company is built on the idea that diverse fields of study must come together to solve intractable problems. We have grand ambitions to create technology that will influence industry around the world.
<br>
<br>
You will be joining a diverse team with a vibrant culture, where team success is as important as celebrating individual contributions.
<br>
<br>
Help us change the world and we will help you change yours.
<br>
<br>
We are looking for an outstanding polymer scientist to develop novel materials for our 3D printing platform. Materials are at the core of what we do. Our materials are used for applications such as prototyping, dental, biomedical, automotive, aerospace, footwear, investment casting, and many more. You will work as part of a cohesive and energetic team, but also direct individual projects and have freedom to execute as you see fit.
<br>
<br>
<b>Responsibilities:
</b><ul><ul><li>Develop, formulate and test new polymer formulations to be used in the production of resins for 3D printing
</li><li>Understand structure-property relationship of polyurethane and UV curables, and utilize DOE (Design of Experiments) to find optimal formulations to meet materials requirement
</li><li>Utilize existing and implement new formulation technologies to generate consistent resin batches for both internal and external use
</li><li>Participate in the scale-up and launch of the developed products by transfer of formulation know-how to manufacturing </li></ul></ul><b>Requirements:
</b><ul><ul><li>MS with 2+ years of industry experience OR PhD in polymer chemistry, materials science, or chemical engineering focused on polymer research. Outstanding BS level with 2+ years industry experience will also be considered.
</li><li>Fundamental understanding and knowledge of polymerization reaction mechanisms, polymer structure, testing and characterization methodologies.
</li><li>Understand polymer blends, polymer phase separation, compatibility, and how different components affect the mechanical properties including modulus, tensile strength, and ultimate elongation at break.
</li><li>Hands on experience in formulating innovative high performance polymeric products, especially polyurethane and/or acrylic resins or elastomers.
</li><li>Experience with polymer toughening techniques, such as fillers and methods of stabilizing them within liquid formulations, or experience with dynamic vulcanization in elastomer formulations
</li><li>Experience in a broad range of polymer characterization instrumentation including: Instron, DMA, DSC, TGA, GC, GPC, etc. Strong analytical skills with ability to make progress with ambiguous and incomplete information.
</li><li>Familiarity with advanced DOE (design of experiment) techniques and statistical analysis preferred.
</li><li>Safety conscious individual who actively promotes safe behavior in the department and takes responsibility for safe lab operations
</li></ul></ul>Carbon3D team members enjoy working in a newly renovated R&amp;D; facility a short walk from the Redwood City CalTrain station and local restaurants. Our tight-knit team works collaboratively in our open space and in our labs, learns together through our entrepreneurship guest speaker series, and bonds together through weekly-catered meals, offsite events and activities.
<br>
<br>
We also provide complete benefits and competitive compensation including equity ownership.</br></br></br></br></br></br></br></br></br></br></br></br></span>",Research Scientist
57,Citrine,"<span class=""summary"" id=""job_summary"">Citrine is the artificial intelligence platform for materials and chemicals. Our platform ingests and understands large-scale data from countless sources, such as patents, research papers, technical reports, and existing databases, and uses state-of-the-art AI to anticipate the behavior of all materials and chemicals under any relevant conditions. Check out our outstanding group of customers and partners ( http://www.citrine.io/partners ). Citrine is backed by top tier Silicon Valley venture capital firms including: Innovation Endeavors, Data Collective, Prelude Ventures, AME Cloud Ventures, Morado Ventures, and XSeed Capital.
<br><br>
The Data Engineer will lead efforts to aggregate large-scale materials science domain-specific data to our organization for modeling and analysis. Data are the lifeblood of Citrine, comprising the essential input to our artificial intelligence models of materials behavior. In addition, much of the data is shared on Citrineâs open access materials science data platform to assist other individuals and researchers in the field. Currently, this platform is trusted by users at nearly 2000 industrial, academic and government organizations. This role involves research in the field of materials science and engineering, examination of domain-specific literature, investigation into, and understanding of, currently available databases relating to the field as well as interacting with experts and researchers in the field to solicit data contributions. The Data Engineer will also collaborate with the Citrine Engineering team to define materials-specific requirements for new software and implement tools to automate data extraction workflows.
<br><br>
----------------
<br>Responsibilities
<br>----------------
<br><br>
<ul>
<li>Identifying data of interest to the general materials research community or relevant to specific customer projects</li>
<li>Selecting, structuring, verifying, and processing large sets of materials data from a variety of siloed databases for inclusion in Citrine's materials science data platform</li>
<li>Maintaining Citrine's materials database; cleaning data to remove errors from the original datasets and to identify possible spurious or physically unreasonable data points that would have a detrimental effect on the models</li>
<li>Monitoring performance of the Citrine materials data extraction and processing pipeline</li>
<li>Managing, supervising, and training independent contractors</li>
<li>Writing and publishing scientific literature relating to materials science and engineering</li>
<li>Building software and tools to process and structure materials data</li>
<li>Building proof of concept extraction demos</li>
</ul>
----------------------
<br>Minimum Qualifications
<br>----------------------
<br><br>
<ul>
<li>Materials Science domain expertise</li>
<li>Scripting ability (Python experience preferred)</li>
<li>Good communication skills, written and verbal</li>
</ul>
------------------------
<br>Preferred Qualifications
<br>------------------------
<br><br>
<ul>
<li>Experience using machine learning to aid in task automation</li>
<li>SQL</li>
</ul>
Must be legally eligible to work in the United States.
<br><br>
<b>Equal Opportunity:</b><br>
All qualified applicants will receive consideration for employment without regard to race, creed, color, or national origin.</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Data Engineer
58,Apeel Sciences,"<span class=""summary"" id=""job_summary"">Company Background
<br><br>
In the United States, over a third of all the food we grow is lost to spoilage and wasted before we can eat it. In the developing world, more than half of all produce is lost to spoilage before it can be consumed. Apeel Sciences creates agricultural solutions inspired by and derived from Nature for growers to protect their crops and increase the shelf life of harvested fresh produce. We are committed to being a technological and environmental trailblazer at the interface between the agricultural, materials science, chemistry, biotechnology, and engineering industries to eliminate food waste and reduce reliance on pesticides. Our mission is to enable widespread, positive impacts through the development of high-performance pre- and post-harvest products and processes that conserve our precious natural resources and safeguard the Earth’s delicate ecological balance.
<br><br>
Company Culture
<br><br>
Apeel is comprised of highly talented, deeply passionate, and strongly tight-knit team members who are excited by the opportunity to challenge the status quo, are obsessed with solving problems, and truly seek to positively change how we feed the world.
<br><br>
Our people are core and absolutely fundamental to our company’s success and continued growth. Look around and what do you see? Team members who are working tirelessly and selflessly—not to serve themselves—but to help the team as a whole strategically, aggressively, and collectively realize a shared mission and vision. If you are ready for an opportunity to jump in, tackle challenges (and opportunities!) head-on, take ownership, and drive meaningful outcomes in a highly collaborative, communicative, and dynamic environment, we would love to connect with you!
<br><br>
About This Division
<br><br>
Comprised of an interdisciplinary team of materials scientists, chemists, biologists, chemical engineers, mechanical engineers, and software engineers working in close collaboration with the other Divisions at Apeel, the Product Team encompasses the Product Research &amp; Development, Product Quality, and Product Integration functions of the company. Using custom-built tools and software, these functions address both pre-harvest and post-harvest product optimization and performance evaluation on fresh produce. In addition, the Team is responsible for the design, fabrication, and implementation of our product delivery systems for both infield and packinghouse product application.
<br><br>
Job Description
<br><br>
Apeel Sciences is seeking a resourceful and creative candidate with a background in Biology, Chemistry, Biochemistry, Materials Science or Food Science for a full-time engineering position on our Product Development team. The successful candidate will represent the Product Research and Development Team and be an enthusiastic, critically thinking, self-motivated researcher with the ability to work closely with both technical and non-technical teams at Apeel.
<br><br>
<b>Responsibilities and Outcomes (including but not limited to):</b><br>
<ul>
<li>Contribute to the design, execution, and analysis of experiments aimed to optimize our proprietary formulations on live substrates, namely fruits and vegetables.</li>
<li>Study film formation and gas transfer properties.</li>
</ul>
Qualifications
<br><br>
<ul>
<li>B.S. or B.A. in Biology, Chemistry, Biochemistry, Materials Science, or Food Science</li>
<li>Must have prior work or internship experience</li>
<li>Research experience desirable</li>
<li>You’re passionate about scientific innovations and agriculture</li>
<li>You work well and collaborate effectively in a team environment</li>
<li>You have the ability to take initiative and solve problems</li>
<li>You have excellent written and oral communication skills</li>
</ul>
</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Product Engineer
59,Lawrence Livermore National Laboratory,"<span class=""summary"" id=""job_summary"">Postdoctoral Research Staff Member - Materials Science
<li></li></span>",Postdoctoral Research Staff Member - Materials Science
60,Hexcel Corporation,"<span class=""summary"" id=""job_summary"">With our strong investment in research and development, and culture of continuous improvement, Hexcel is the industry leader in the manufacturing of industrial fabrics and composite materials. We invite you to join more than 6,000 people who work for Hexcel at various manufacturing sites, sales offices and R&amp;T; centers around the globe and join our âstrength within.â
Hexcel is currently seeking a Research Engineer for our Dublin, CA USA location.
The selected individual will be responsible for but not limited to the following obligations:
Essential and integral key member of the major product development programs, including primary structure developments.
Develop thermoset resin formulations for next generation composite matrix technology
Develop further understanding of materials toughening to drive the development of new solutions.
Develop techniques and knowledge of fracture behavior and provide fracture analysis expertise.
Provide statistical analysis support to the development chemists.
Act as interface between our modeling activities and product development activities ensuring alignment of objectives.
Provide support to customers by assisting our technical support organization.
Qualifications:
Bachelor's Degree in Scientific, Engineering or Technical Field with 5+ years of experience OR Master's Degree in Scientific, Engineering or Technical Field with 3+ years of experience OR PhD in Scientific, Engineering or Technical Field with 1+ year of experience. Chemistry degrees preferred, Organic Chemistry preferred. Co-Op, Internship or part time experience as student will be considered towards experience.
Creativity in developing theories to understand materials, in proposing new characterization techniques.
Solid understanding of materials science, chemistry of thermoset resins, mechanical property understanding and structure-property relationships.
Rigor in data analysis, some element of statistical analysis and design of experiment planning.
Eligible candidate must be: U.S. citizen, U.S. national, a person lawfully admitted for permanent residence, a temporary resident under sections 210(a) or 245(A) of the Act, a person admitted in refugee status, a person granted asylum. Hexcel (NYSE: HXL) is a global leader in advanced composites technology, a leading producer of carbon fiber, and the world leader in honeycomb manufacturing for the commercial aerospace industry.
Hexcel is an Equal Opportunity Employer of Minorities/Females/Protected Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, physical or mental disability, status as protected veteran, or any other protected class.</span>",Research Engineer
61,Lumentum Operations LLC,"<span class=""summary"" id=""job_summary"">Photonic Device Product Engineer
<br><br>
<b>Lumentum (NASDAQ:</b> LITE) is a market-leading manufacturer of innovative optical and photonic products enabling optical networking and commercial laser customers worldwide. Lumentum’s optical components and subsystems are part of virtually every type of telecom, enterprise, and data center network. Lumentum’s commercial lasers enable advanced manufacturing techniques and diverse applications including next-generation 3D sensing capabilities. Lumentum is headquartered in Milpitas, California with R&amp;D;, manufacturing, and sales offices worldwide.
<br><br>
For more information, visit www.lumentum.com.Lumentum is an Equal Opportunity Employer, EOE/Minorities/Females/Veterans/Disability
<br><br>
Job Description
<br><br>
We are a world technology leader, and our employees are part of an elite, innovative, success-driven team operating in a fast-moving, collaborative work environment to solve real-world problems. We are seeking a bright Product Engineering professional to join our talented team in our San Jose Fab. If you have a passion for learning and solving problems as well as an educational background that includes materials science, physics, opto-electronics engineering or directly related disciplines; or hands on experience that includes wafer fabrication process and silicon photonic device functionality analysis; -- this role could be just what you seek.
<br><br>
<b>In this position you will:</b><br>
Support daily production like solving issues in real-time, as well as leading the analysis of failures on the wafer fabrication and testing production line.
<br><br>
Work closely with R&amp;D; team to support new product introduction by performing design/process sensitivity study to define growth/process spec limits, correlation study between Chip, optical sub-assembly and transceiver modules.
<br><br>
Lead the efforts to drive production ramp-up readiness. Coordinate with cross-functional team (process, assembly, test etc) to ensure manufacturing readiness of chip design and specs, new equipment’s, process flow and specs, documentation and test database infrastructure etc.
<br><br>
Lead cross-functional team to drive yield improvement and product cost reduction post production ramp. Perform statistical data analysis and trouble shoot potential root causes for yield excursions.
<br><br>
Work closely with optical sub-assembly and transceiver module team to address issues at contract manufacturers that could be related to chip performance.
<br><br>
Requirements
<br><br>
MS degree in electrical engineering, material science, physics, or other relevant major plus 5 years industry experience is needed. PhD degree is highly preferred.
<br><br>
5 years of silicon photonics device design, processing and testing experience is required.
<br><br>
Hands-on experience with design, process and characterization of silicon photonics devices.
<br><br>
Strong statistical data analysis skills (JMP or Minitab etc.).
<br><br>
Must be a US Persons
<br><br>
Familiarity with silicon wafer fab operations (Manufacturing Execution System, process and quality control, change management etc.) in a high-volume manufacturing environment is a plus.
<br><br>
Experience with silicon photonics device reliability testing and modeling is a plus.
<br><br>
Strong communication skills; adept at hosting effective meetings and facilitating actions and resolving conflicts.
<br><br>
Strong ability to drive actions and solutions through cross-functional teams.
<br><br>
Primary Location
<br><br>
:
<br><br>
US-CA-San Jose
<br><br>
Work Locations
<br><br>
:
<br><br>
San Jose-Auto, CA USA
<br><br>
1750 Automation Parkway
<br><br>
San Jose
<br><br>
95131
<br><br>
Job
<br><br>
:
<br><br>
Manufacturing Product
<br><br>
Organization
<br><br>
:
<br><br>
US BU
<br><br>
Schedule
<br><br>
:
<br><br>
Full-time
<br><br>
Employee Status
<br><br>
:
<br><br>
Regular
<br><br>
Job Type
<br><br>
:
<br><br>
Standard
<br><br>
Job Level
<br><br>
:
<br><br>
Individual Contributor
<br><br>
Job Posting
<br><br>
:
<br><br>
Feb 17, 2017, 6:47:55 AM</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>","Photonic Device Product Engineer (Engineer Staff, Mfg Product)"
62,General Atomics and Affiliated Companies,"<span class=""summary"" id=""job_summary"">Job Summary </span>",Program Manager (Nucelar Technologies & Materials)
63,University of California Merced,"<span class=""summary"" id=""job_summary"">The University of California is creating a dynamic new university campus and campus community in Merced, California, which opened in September 2005 as the tenth campus of the University of California and the first American research university built in the 21st century. In keeping with the mission of the University to provide teaching, research and public service of the highest quality, UC Merced will be providing new educational opportunities at the undergraduate, masters and doctoral levels through three academic schools Engineering; Natural Sciences; and, Social Sciences, Humanities and the Arts.
<br>
<br>
The Functional Materials Laboratory directed by Dr. Jennifer Lu is recruiting a highly motivated and qualified researcher specialist to synthesize 3D hierarchical porous carbon-based structures for energy storage and conversion and to train and supervise the undergraduate and graduate students in the group. The successful candidates should have:
<br>
• Advanced understanding of electrochemistry, and be well versed in the use of spectroscopic and microscopic material characterization methods to understand relationships between structure and properties.
<br>
• Extensive experience in nanomaterial synthesis.
<br>
• Strong written and verbal communication skills.
<br>
• Strong laboratory managerial and report/paper preparation skills as well as experience in direct supervision of undergraduate and graduate students.
<br>
<br>
The candidate is expected to become proficient in the experimental and analytical procedures carried out in the laboratory, stay on top of current developments and opportunities in the field of electrocatalysis and electrochemical storage, train and supervise the students in the group in the safe and proper use of laboratory instruments and write scientific reports/papers. Additionally, appointees will participate in planning and execution of research. Travels to NASA-Ames and National Lab User Facilities are required occasionally.
<br>
<br>
Highly self-motivated individuals who have demonstrated the ability to successfully conduct scientific research independently and have accredited mentoring and leadership skills are highly desirable.
<br>
<br>
Qualifications: A degree in Materials Science, Chemical Engineering, Mechanical Engineering, Physics, Chemistry or a related field prior to starting the position is required. Specialists appointed at the Associate rank should possess a master’s degree (or equivalent degree) with five to ten years of experience demonstrating expertise in relevant specialty. A Ph.D. degree is highly desirable. An appointee at the Associate level should have a record of academic accomplishment including published or in-press research in the field, and a demonstrated record of University and/or public service.
<br>
<br>
Interested applicants are required to submit 1) a cover letter 2) curriculum vitae and 3) a list of three references with contact information including mailing address, phone number and e-mail address.
<br>
<br>
Salary is based on the University of California Academic Salary Scales. Review of applications will begin immediately. Position is open until filled with a final closing date of June 30, 2017. Starting dates are negotiable. Please contact Jennifer Lu at jennifer.lu@ucmerced.edu for additional information.
<br>
<br>
The University of California, Merced is an affirmative action/equal opportunity employer with a strong institutional commitment to the achievement of diversity among its faculty, staff, and students. The University is supportive of dual career couples. Salary is commensurate with education, experience, and UC academic salary scales.
<br>
<br>
<b>Job location
</b>Merced, CA
<br>
<b>Requirements
</b>Documents
<ul><li>Curriculum Vitae - Your most recently updated C.V.
<br>
<br>
</br></br></li><li>Cover Letter
<br>
<br>
</br></br></li><li>Reference Contact Information - Please provide name, email address, mailing address, and phone number of three references.
<br>
<br>
</br></br></li></ul><b>How to apply
</b><li>Create an ApplicantID
</li><li>Provide required information and documents</li></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></span>",Associate Specialist Position In Mesoporous Materials
64,HGST,"<span class=""summary"" id=""job_summary"">Job Position:
</span>",NVM Materials and Process Integration
